Area_sqft,Property_BHK,Furnished_Status,Bathroom,Society,Price_(lacks),Status,House_floor,Building_floor,Floor_Category
511,2,Furnished,2,Pratham Yash Residency,58.9,Ready to Move,1,12,Low
396,1,Unfurnished,1,Vaishnavi Park,16.0,Ready to Move,1,5,Low
490,2,Furnished,2,Tanishq Apartment,65.0,Ready to Move,2,6,Mid
482,1,Unfurnished,2,Silver Oak,45.0,Ready to Move,6,8,Top
756,2,Furnished,2,Shree Ram Classic,65.0,Ready to Move,1,4,Mid
802,2,Unfurnished,2,Highway Bliss,73.0,Ready to Move,8,11,Mid
778,2,Unfurnished,2,Sukhwani Campus,110.0,Ready to Move,1,7,Low
612,2,Unfurnished,2,Sneha Plaza,65.0,Ready to Move,3,3,Top
612,2,Semi-Furnished,2,Sneha Plaza,75.0,Ready to Move,3,3,Top
698,2,Semi-Furnished,2,Shreeyog,75.0,Ready to Move,1,5,Low
670,2,Unfurnished,2,Shravani Residency,70.0,Ready to Move,1,4,Mid
569,2,Unfurnished,1,Shivyog Residency,62.0,Ready to Move,3,4,Top
360,1,Semi-Furnished,1,Shivneri Apartment,31.0,Ready to Move,4,4,Top
